Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two,Value_Score,Price_Category
Cafe Chaat Junction,Delhi,Lajpat Nagar,Bengali,Quick Bites,No,No,3.1,425,295,1.0508,Budget
Shree Urban Kitchen,Delhi,Saket,"Seafood, Beverages, Bengali",Delivery,Yes,No,3.8,511,168,2.2619,Budget
Shree Grill House,Delhi,Saket,Biryani,Cafe,Yes,No,3.9,1287,1112,0.3507,Premium
Tiffin Box,Delhi,Dwarka,"Beverages, Continental",Bakery,Yes,No,3.7,758,533,0.6942,Affordable
New Cloud Kitchen,Delhi,Karol Bagh,South Indian,Food Court,Yes,No,2.7,717,346,0.7803,Affordable
Royal Masala Twist,Delhi,Dwarka,"Chinese, Punjabi, Cafe",Bakery,Yes,No,3.8,89,442,0.8597,Affordable
Masala Twist,Delhi,Lajpat Nagar,"Thai, North Indian",Quick Bites,Yes,No,3.4,349,475,0.7158,Affordable
Royal Spice Garden,Delhi,Karol Bagh,"Cafe, Street Food, Italian",Quick Bites,Yes,No,2.8,682,126,2.2222,Budget
The Aroma Restaurant,Delhi,Connaught Place,Biryani,Bakery,Yes,No,3.1,640,167,1.8563,Budget
Taste of India,Delhi,Lajpat Nagar,"Biryani, Rajasthani, Beverages",Cafe,No,Yes,4.3,420,896,0.4799,Mid-Range
Cloud Kitchen,Delhi,Connaught Place,"Bengali, Seafood",Cafe,Yes,No,4.2,1233,615,0.6829,Mid-Range
Chaat Junction,Delhi,Karol Bagh,Rajasthani,Quick Bites,Yes,No,4.0,555,485,0.8247,Affordable
New Classic Dining,Delhi,Karol Bagh,"Bengali, North Indian, Street Food",Cafe,No,No,4.2,1448,942,0.4459,Mid-Range
Royal Cloud Kitchen,Delhi,Lajpat Nagar,"Italian, Desserts, Cafe",Fine Dining,Yes,Yes,4.5,1144,3102,0.1451,Luxury
Burger Barn,Delhi,Karol Bagh,"Pizza, Desserts, Thai",Food Court,Yes,Yes,2.6,110,310,0.8387,Affordable
Hotel Taste of India,Delhi,Dwarka,South Indian,Dessert Parlour,Yes,Yes,4.4,232,436,1.0092,Affordable
Cloud Kitchen,Delhi,Saket,"Mexican, Pizza",Cafe,No,No,3.6,1402,878,0.41,Mid-Range
Shree Taste of India,Delhi,Saket,"Pizza, Chinese",Food Court,Yes,Yes,3.3,274,130,2.5385,Budget
Biryani House,Delhi,Connaught Place,"Seafood, Pizza, Gujarati",Delivery,Yes,No,3.4,668,414,0.8213,Affordable
The Urban Kitchen,Delhi,Saket,Mexican,Casual Dining,No,No,3.2,511,909,0.352,Mid-Range
Hotel Tiffin Box,Delhi,Lajpat Nagar,Desserts,Dessert Parlour,No,No,3.5,799,581,0.6024,Affordable
Hotel Kebab King,Delhi,Dwarka,"Gujarati, Fast Food",Quick Bites,Yes,No,3.2,320,449,0.7127,Affordable
Flavor Town,Delhi,Saket,Rajasthani,Food Court,No,Yes,2.9,50,383,0.7572,Affordable
Restaurant Chaat Junction,Delhi,Saket,"Beverages, Gujarati, Chinese",Casual Dining,No,No,3.8,445,436,0.8716,Affordable
The Sweet Tooth,Delhi,Connaught Place,"Street Food, Gujarati, Thai",Casual Dining,No,No,4.6,125,416,1.1058,Affordable
Shree Fusion Bites,Delhi,Connaught Place,"Punjabi, Rajasthani, Thai",Delivery,Yes,No,4.3,763,118,3.6441,Budget
Hotel Biryani House,Delhi,Connaught Place,"Biryani, North Indian, Pizza",Delivery,Yes,No,4.1,477,149,2.7517,Budget
Royal Tiffin Box,Delhi,Lajpat Nagar,"Cafe, Continental, Chinese",Bakery,No,No,4.1,704,477,0.8595,Affordable
New Dosa Corner,Delhi,Saket,South Indian,Food Court,Yes,No,2.7,785,172,1.5698,Budget
The Dosa Corner,Delhi,Connaught Place,"South Indian, Biryani, Fast Food",Delivery,No,No,3.3,26,180,1.8333,Budget
The Fusion Bites,Delhi,Lajpat Nagar,"Gujarati, Biryani",Dessert Parlour,Yes,No,3.5,254,310,1.129,Affordable
New Grill House,Delhi,Lajpat Nagar,"Chinese, Street Food, Beverages",Bakery,Yes,No,2.9,107,371,0.7817,Affordable
The Food Hub,Delhi,Karol Bagh,"Mughlai, Italian, South Indian",Bakery,Yes,No,3.9,495,595,0.6555,Affordable
New Dosa Corner,Delhi,Lajpat Nagar,Bengali,Dessert Parlour,Yes,No,4.3,54,332,1.2952,Affordable
Burger Barn,Delhi,Connaught Place,"Punjabi, Fast Food",Quick Bites,Yes,Yes,3.4,343,396,0.8586,Affordable
The Noodle Box,Delhi,Lajpat Nagar,Fast Food,Food Court,Yes,No,2.9,235,556,0.5216,Affordable
Royal Food Hub,Delhi,Karol Bagh,"Rajasthani, Pizza, Seafood",Delivery,Yes,No,2.9,286,283,1.0247,Budget
Royal Dosa Corner,Delhi,Dwarka,Rajasthani,Cafe,Yes,Yes,3.7,1286,702,0.5271,Mid-Range
Aroma Restaurant,Delhi,Lajpat Nagar,Bengali,Delivery,No,No,4.5,494,402,1.1194,Affordable
The Food Hub,Delhi,Saket,"Bengali, Mexican",Delivery,Yes,No,4.4,597,567,0.776,Affordable
The Flavor Town,Delhi,Saket,"Punjabi, Seafood",Quick Bites,Yes,No,4.1,517,331,1.2387,Affordable
Royal Aroma Restaurant,Delhi,Dwarka,Beverages,Delivery,Yes,No,2.7,695,345,0.7826,Affordable
Hotel Sweet Tooth,Delhi,Karol Bagh,"Rajasthani, Biryani",Quick Bites,No,No,4.1,651,289,1.4187,Budget
The Grill House,Delhi,Karol Bagh,"Bengali, Italian",Quick Bites,No,No,3.7,711,206,1.7961,Budget
Restaurant Pizza Palace,Delhi,Karol Bagh,Seafood,Quick Bites,Yes,No,3.2,673,189,1.6931,Budget
The Taste of India,Delhi,Karol Bagh,"Fast Food, Gujarati, Mughlai",Delivery,No,No,3.1,283,559,0.5546,Affordable
Urban Kitchen,Delhi,Connaught Place,"Gujarati, Punjabi",Food Court,Yes,Yes,3.9,555,447,0.8725,Affordable
Cafe Chaat Junction,Hyderabad,Jubilee Hills,"Chinese, Cafe",Delivery,Yes,Yes,4.4,121,139,3.1655,Budget
Curry Leaf,Hyderabad,Banjara Hills,"North Indian, Street Food, Bengali",Delivery,No,No,2.8,440,277,1.0108,Budget
New Tiffin Box,Hyderabad,Gachibowli,Punjabi,Quick Bites,Yes,No,3.2,344,430,0.7442,Affordable
The Pizza Palace,Hyderabad,Hitech City,"Mexican, Biryani",Bakery,No,No,4.1,505,216,1.8981,Budget
Cafe Dosa Corner,Hyderabad,Jubilee Hills,"Pizza, Cafe",Dessert Parlour,No,Yes,4.4,735,529,0.8318,Affordable
Pizza Palace,Hyderabad,Hitech City,Desserts,Casual Dining,Yes,No,3.8,1201,610,0.623,Mid-Range
Cafe Spice Garden,Hyderabad,Hitech City,"Pizza, Thai, Street Food",Bakery,Yes,Yes,4.4,158,493,0.8925,Affordable
Shree Food Hub,Hyderabad,Jubilee Hills,"Street Food, Mexican",Dessert Parlour,No,No,4.0,462,572,0.6993,Affordable
New Burger Barn,Hyderabad,Hitech City,"North Indian, Seafood",Casual Dining,Yes,Yes,3.7,162,734,0.5041,Mid-Range
Royal Fusion Bites,Hyderabad,Banjara Hills,Chinese,Delivery,Yes,No,3.8,534,144,2.6389,Budget
Hotel Curry Leaf,Hyderabad,Gachibowli,"Biryani, Bengali",Food Court,Yes,No,3.1,325,279,1.1111,Budget
Cafe Curry Leaf,Hyderabad,Hitech City,"Street Food, Pizza",Fine Dining,No,No,4.3,485,3196,0.1345,Luxury
Cafe Curry Leaf,Hyderabad,Jubilee Hills,"Desserts, Chinese, Seafood",Bakery,Yes,No,4.3,189,312,1.3782,Affordable
The Spice Garden,Hyderabad,Jubilee Hills,"Thai, Gujarati",Fine Dining,Yes,No,4.7,1211,2744,0.1713,Luxury
Chaat Junction,Hyderabad,Banjara Hills,"Gujarati, Fast Food",Dessert Parlour,No,No,3.3,511,351,0.9402,Affordable
The Saffron,Hyderabad,Jubilee Hills,"Gujarati, Mexican, Bengali",Food Court,No,No,3.5,132,455,0.7692,Affordable
Food Hub,Hyderabad,Hitech City,Desserts,Quick Bites,Yes,No,3.2,289,127,2.5197,Budget
Saffron,Hyderabad,Hitech City,"Chinese, Punjabi, Mughlai",Dessert Parlour,No,Yes,2.7,181,485,0.5567,Affordable
Hotel Curry Leaf,Hyderabad,Jubilee Hills,"Mexican, Beverages, Biryani",Casual Dining,Yes,No,3.8,893,896,0.4241,Mid-Range
Hotel Noodle Box,Hyderabad,Gachibowli,Thai,Delivery,Yes,No,3.6,739,372,0.9677,Affordable
Royal Grill House,Hyderabad,Hitech City,Biryani,Casual Dining,No,No,3.7,334,771,0.4799,Mid-Range
Hotel Noodle Box,Hyderabad,Banjara Hills,"Street Food, North Indian, Fast Food",Cafe,Yes,No,3.4,679,632,0.538,Mid-Range
Food Hub,Hyderabad,Banjara Hills,Gujarati,Casual Dining,No,Yes,3.4,1101,1075,0.3163,Premium
Momo Point,Hyderabad,Hitech City,"North Indian, Fast Food, Mexican",Dessert Parlour,No,Yes,4.3,696,194,2.2165,Budget
New Curry Leaf,Hyderabad,Jubilee Hills,Punjabi,Food Court,No,No,3.5,111,134,2.6119,Budget
Royal Dosa Corner,Hyderabad,Gachibowli,Thai,Dessert Parlour,Yes,No,4.3,526,571,0.7531,Affordable
Shree Biryani House,Hyderabad,Jubilee Hills,Beverages,Casual Dining,No,No,4.0,281,817,0.4896,Mid-Range
Shree Burger Barn,Hyderabad,Gachibowli,"Street Food, Thai",Bakery,No,Yes,3.5,300,297,1.1785,Budget
Hotel Sweet Tooth,Hyderabad,Gachibowli,"Mughlai, Chinese",Dessert Parlour,No,No,3.8,193,288,1.3194,Budget
Curry Leaf,Hyderabad,Gachibowli,Biryani,Casual Dining,Yes,No,4.7,395,1159,0.4055,Premium
Kebab King,Hyderabad,Gachibowli,Bengali,Casual Dining,No,Yes,4.3,1265,995,0.4322,Mid-Range
The Biryani House,Hyderabad,Banjara Hills,"Punjabi, Italian",Fine Dining,Yes,No,3.9,1218,3504,0.1113,Luxury
New Cloud Kitchen,Hyderabad,Gachibowli,"North Indian, Pizza",Casual Dining,Yes,No,3.4,1326,1036,0.3282,Premium
The Noodle Box,Hyderabad,Banjara Hills,Street Food,Bakery,No,No,3.0,563,275,1.0909,Budget
Flavor Town,Hyderabad,Gachibowli,"Desserts, Seafood",Fine Dining,Yes,Yes,4.0,1646,2741,0.1459,Luxury
New Food Hub,Hyderabad,Gachibowli,Mexican,Bakery,No,No,3.9,491,392,0.9949,Affordable
Kebab King,Hyderabad,Banjara Hills,"Mexican, Seafood",Dessert Parlour,Yes,No,3.8,72,264,1.4394,Budget
Royal Taste of India,Hyderabad,Banjara Hills,"Fast Food, Bengali",Food Court,Yes,No,3.2,260,438,0.7306,Affordable
Spice Garden,Hyderabad,Gachibowli,Desserts,Dessert Parlour,Yes,No,2.6,442,436,0.5963,Affordable
New Cloud Kitchen,Hyderabad,Hitech City,"Seafood, Mexican",Quick Bites,Yes,No,4.1,717,151,2.7152,Budget
Momo Point,Hyderabad,Gachibowli,"Street Food, Beverages, Bengali",Cafe,Yes,No,4.7,1147,477,0.9853,Affordable
Hotel Classic Dining,Hyderabad,Hitech City,"Chinese, Mexican, Fast Food",Delivery,Yes,Yes,3.6,496,371,0.9704,Affordable
The Classic Dining,Hyderabad,Jubilee Hills,"Thai, Desserts",Dessert Parlour,Yes,No,3.7,697,332,1.1145,Affordable
The Grill House,Hyderabad,Jubilee Hills,Rajasthani,Bakery,Yes,No,4.1,797,536,0.7649,Affordable
Hotel Classic Dining,Hyderabad,Jubilee Hills,"Biryani, Continental",Food Court,Yes,No,3.1,430,322,0.9627,Affordable
Dhaba Express,Hyderabad,Gachibowli,"Street Food, Pizza",Fine Dining,Yes,No,4.2,507,1965,0.2137,Premium
The Aroma Restaurant,Hyderabad,Gachibowli,"South Indian, Mughlai",Fine Dining,Yes,Yes,4.1,1548,2637,0.1555,Luxury
Hotel Sweet Tooth,Hyderabad,Jubilee Hills,Chinese,Quick Bites,Yes,Yes,2.6,426,589,0.4414,Affordable
Chaat Junction,Hyderabad,Banjara Hills,Mexican,Delivery,No,No,3.5,604,524,0.6679,Affordable
Hotel Dosa Corner,Hyderabad,Jubilee Hills,"Fast Food, Desserts, Mexican",Delivery,No,No,4.1,251,480,0.8542,Affordable
Restaurant Saffron,Hyderabad,Jubilee Hills,"Bengali, Italian",Dessert Parlour,No,Yes,3.6,125,458,0.786,Affordable
Restaurant Saffron,Hyderabad,Gachibowli,"Beverages, Street Food",Food Court,Yes,No,3.7,767,530,0.6981,Affordable
Taste of India,Hyderabad,Jubilee Hills,"Beverages, Fast Food, Thai",Dessert Parlour,No,No,3.3,412,565,0.5841,Affordable
Hotel Cloud Kitchen,Hyderabad,Gachibowli,Pizza,Dessert Parlour,No,No,4.3,669,492,0.874,Affordable
Royal Aroma Restaurant,Hyderabad,Hitech City,"Bengali, Desserts, Cafe",Bakery,No,No,4.1,277,457,0.8972,Affordable
Hotel Biryani House,Hyderabad,Jubilee Hills,"North Indian, South Indian, Pizza",Bakery,Yes,No,2.8,214,305,0.918,Affordable
Curry Leaf,Hyderabad,Banjara Hills,"Biryani, Bengali, Desserts",Delivery,Yes,No,2.8,713,188,1.4894,Budget
Royal Classic Dining,Hyderabad,Jubilee Hills,"Pizza, Seafood",Fine Dining,No,No,4.8,242,2419,0.1984,Luxury
Dosa Corner,Hyderabad,Banjara Hills,"Mughlai, Italian",Casual Dining,No,Yes,3.8,1279,839,0.4529,Mid-Range
Masala Twist,Hyderabad,Gachibowli,"Punjabi, Bengali, Rajasthani",Quick Bites,No,No,2.9,205,204,1.4216,Budget
Pizza Palace,Hyderabad,Banjara Hills,Bengali,Fine Dining,No,No,4.9,1688,2659,0.1843,Luxury
Flavor Town,Hyderabad,Gachibowli,"Continental, Rajasthani",Dessert Parlour,No,No,3.8,97,334,1.1377,Affordable
Royal Urban Kitchen,Hyderabad,Banjara Hills,"Seafood, Bengali, Italian",Delivery,Yes,No,2.6,250,576,0.4514,Affordable
Cafe Grill House,Hyderabad,Gachibowli,"Punjabi, Seafood",Quick Bites,Yes,No,3.8,582,595,0.6387,Affordable
Aroma Restaurant,Hyderabad,Hitech City,"Biryani, Chinese",Food Court,Yes,No,3.8,330,159,2.3899,Budget
Shree Food Hub,Hyderabad,Jubilee Hills,"Italian, Cafe",Fine Dining,Yes,No,4.0,1764,3512,0.1139,Luxury
Shree Food Hub,Hyderabad,Gachibowli,Continental,Cafe,Yes,No,3.4,943,878,0.3872,Mid-Range
Cafe Dosa Corner,Hyderabad,Hitech City,"Thai, Gujarati, Rajasthani",Food Court,Yes,No,4.2,367,163,2.5767,Budget
Hotel Sweet Tooth,Hyderabad,Hitech City,"North Indian, Punjabi, Pizza",Delivery,Yes,Yes,4.0,511,446,0.8969,Affordable
The The Hungry Tiger,Hyderabad,Banjara Hills,"Biryani, North Indian",Casual Dining,Yes,No,4.2,1336,864,0.4861,Mid-Range
Royal Sweet Tooth,Hyderabad,Banjara Hills,"Mexican, Biryani",Bakery,Yes,Yes,3.8,66,265,1.434,Budget
Cafe Biryani House,Hyderabad,Hitech City,"Pizza, Continental",Fine Dining,No,No,3.9,533,2352,0.1658,Luxury
Momo Point,Hyderabad,Gachibowli,"Street Food, Biryani",Bakery,Yes,Yes,3.2,511,202,1.5842,Budget
Cafe Chaat Junction,Hyderabad,Banjara Hills,"Beverages, Pizza",Casual Dining,Yes,No,3.3,999,749,0.4406,Mid-Range
New Noodle Box,Hyderabad,Hitech City,"Bengali, Chinese",Dessert Parlour,No,No,2.8,710,165,1.697,Budget
Momo Point,Hyderabad,Banjara Hills,"Chinese, South Indian, Punjabi",Quick Bites,Yes,No,2.7,747,438,0.6164,Affordable
Royal Aroma Restaurant,Hyderabad,Gachibowli,Rajasthani,Quick Bites,Yes,Yes,3.3,436,142,2.3239,Budget
The Sweet Tooth,Hyderabad,Banjara Hills,"Italian, Desserts, Pizza",Bakery,Yes,Yes,4.5,699,232,1.9397,Budget
Royal Kebab King,Hyderabad,Gachibowli,Gujarati,Quick Bites,Yes,No,3.8,626,481,0.79,Affordable
Cafe Classic Dining,Hyderabad,Jubilee Hills,Biryani,Dessert Parlour,Yes,Yes,4.1,202,456,0.8991,Affordable
Shree Chaat Junction,Hyderabad,Gachibowli,"Thai, Mughlai, Chinese",Fine Dining,Yes,No,4.3,438,1589,0.2706,Premium
Noodle Box,Hyderabad,Gachibowli,"Mexican, Continental",Quick Bites,Yes,No,3.8,351,126,3.0159,Budget
Restaurant Flavor Town,Hyderabad,Banjara Hills,Gujarati,Dessert Parlour,Yes,No,3.9,704,578,0.6747,Affordable
Dhaba Express,Hyderabad,Gachibowli,"Mexican, Desserts",Quick Bites,Yes,Yes,3.8,494,555,0.6847,Affordable
Royal Flavor Town,Hyderabad,Gachibowli,Street Food,Quick Bites,No,No,3.4,234,359,0.9471,Affordable
Hotel Urban Kitchen,Hyderabad,Gachibowli,"Seafood, Bengali",Cafe,No,No,4.3,381,883,0.487,Mid-Range
The Kebab King,Hyderabad,Hitech City,Mughlai,Cafe,Yes,No,4.4,671,905,0.4862,Mid-Range
The Hungry Tiger,Hyderabad,Hitech City,"Pizza, Cafe, Punjabi",Food Court,Yes,Yes,3.4,242,416,0.8173,Affordable
Hotel Biryani House,Hyderabad,Banjara Hills,"Italian, Biryani, Punjabi",Quick Bites,Yes,Yes,2.6,458,584,0.4452,Affordable
Hotel Pizza Palace,Hyderabad,Hitech City,"Fast Food, Pizza, Cafe",Quick Bites,No,No,2.8,735,249,1.1245,Budget
Masala Twist,Hyderabad,Jubilee Hills,Fast Food,Food Court,No,No,3.3,16,493,0.6694,Affordable
Noodle Box,Hyderabad,Gachibowli,"Beverages, Bengali",Casual Dining,Yes,No,3.4,1134,1171,0.2904,Premium
Cafe Noodle Box,Hyderabad,Banjara Hills,"Beverages, North Indian, Rajasthani",Bakery,Yes,Yes,4.1,81,583,0.7033,Affordable
New Masala Twist,Hyderabad,Hitech City,Biryani,Fine Dining,No,Yes,4.5,805,3629,0.124,Luxury
Royal Fusion Bites,Hyderabad,Gachibowli,Italian,Food Court,No,No,2.8,466,306,0.915,Affordable
New Masala Twist,Hyderabad,Jubilee Hills,"Seafood, Mughlai, Street Food",Food Court,Yes,No,3.3,767,468,0.7051,Affordable
Aroma Restaurant,Hyderabad,Gachibowli,"Thai, Street Food, Punjabi",Casual Dining,Yes,No,3.2,1263,952,0.3361,Mid-Range
The Dhaba Express,Hyderabad,Hitech City,"South Indian, Beverages, Italian",Casual Dining,Yes,No,3.3,305,1066,0.3096,Premium
Grill House,Hyderabad,Jubilee Hills,"Mexican, Cafe, Thai",Delivery,No,Yes,3.1,742,441,0.7029,Affordable
The Noodle Box,Hyderabad,Jubilee Hills,"Punjabi, Mexican",Casual Dining,Yes,No,3.9,921,550,0.7091,Affordable
Royal Chaat Junction,Hyderabad,Gachibowli,Rajasthani,Bakery,Yes,No,3.3,541,386,0.8549,Affordable
Restaurant Dhaba Express,Hyderabad,Gachibowli,"Gujarati, Bengali, Pizza",Bakery,Yes,Yes,3.9,731,166,2.3494,Budget
New Pizza Palace,Hyderabad,Banjara Hills,"Pizza, Thai, Beverages",Quick Bites,No,Yes,4.2,133,156,2.6923,Budget
Masala Twist,Hyderabad,Jubilee Hills,"Beverages, Street Food",Food Court,Yes,Yes,2.8,613,501,0.5589,Affordable
Sweet Tooth,Hyderabad,Gachibowli,"Gujarati, North Indian, Fast Food",Cafe,Yes,Yes,3.3,1223,892,0.37,Mid-Range
Royal Noodle Box,Hyderabad,Gachibowli,Punjabi,Cafe,Yes,No,4.2,716,552,0.7609,Affordable
The Momo Point,Hyderabad,Hitech City,"Desserts, Thai",Delivery,Yes,No,3.4,671,242,1.405,Budget
The Biryani House,Hyderabad,Jubilee Hills,"Thai, Chinese, Mughlai",Casual Dining,No,No,4.3,1118,983,0.4374,Mid-Range
The Chaat Junction,Hyderabad,Banjara Hills,"Mughlai, Continental",Quick Bites,No,No,3.7,556,143,2.5874,Budget
Pizza Palace,Hyderabad,Jubilee Hills,"Pizza, Bengali",Food Court,Yes,No,3.3,127,146,2.2603,Budget
Sweet Tooth,Hyderabad,Banjara Hills,Biryani,Dessert Parlour,Yes,No,2.8,343,414,0.6763,Affordable
Royal Momo Point,Hyderabad,Jubilee Hills,Bengali,Food Court,No,Yes,4.4,133,560,0.7857,Affordable
The Saffron,Hyderabad,Banjara Hills,"Punjabi, Seafood, Fast Food",Bakery,Yes,No,3.8,505,133,2.8571,Budget
Restaurant Tiffin Box,Hyderabad,Gachibowli,"Biryani, Street Food, Bengali",Delivery,Yes,No,3.5,155,500,0.7,Affordable
Shree Saffron,Hyderabad,Hitech City,North Indian,Bakery,No,No,3.8,181,434,0.8756,Affordable
Hotel Pizza Palace,Hyderabad,Hitech City,"Mughlai, Mexican",Fine Dining,No,Yes,4.0,1353,3687,0.1085,Luxury
Shree Saffron,Hyderabad,Jubilee Hills,Cafe,Fine Dining,Yes,No,4.8,1500,2903,0.1653,Luxury
The Spice Garden,Hyderabad,Jubilee Hills,"Mughlai, Rajasthani",Food Court,No,No,4.3,671,168,2.5595,Budget
Shree Urban Kitchen,Hyderabad,Banjara Hills,"Gujarati, Seafood, Thai",Fine Dining,Yes,No,4.5,263,3706,0.1214,Luxury
Shree Spice Garden,Hyderabad,Jubilee Hills,"Cafe, Beverages",Food Court,Yes,No,4.1,137,104,3.9423,Budget
Food Hub,Chennai,Velachery,"Beverages, Mughlai",Quick Bites,Yes,No,3.1,236,467,0.6638,Affordable
New Curry Leaf,Chennai,OMR,"Cafe, Mughlai, North Indian",Bakery,Yes,No,3.3,294,545,0.6055,Affordable
Curry Leaf,Chennai,Anna Nagar,Mexican,Cafe,Yes,Yes,3.6,516,983,0.3662,Mid-Range
Biryani House,Chennai,OMR,"Thai, Rajasthani, North Indian",Dessert Parlour,No,No,4.4,340,126,3.4921,Budget
Curry Leaf,Chennai,Velachery,"Beverages, Punjabi",Bakery,No,No,2.9,440,242,1.1983,Budget
The Chaat Junction,Chennai,Adyar,"North Indian, Continental, Bengali",Casual Dining,No,No,3.5,686,737,0.4749,Mid-Range
Hotel Cloud Kitchen,Chennai,OMR,"Desserts, Italian, Continental",Quick Bites,Yes,Yes,3.2,351,127,2.5197,Budget
Hotel Pizza Palace,Chennai,Anna Nagar,Rajasthani,Bakery,Yes,Yes,2.6,396,117,2.2222,Budget
Biryani House,Chennai,OMR,Street Food,Bakery,Yes,No,2.7,582,128,2.1094,Budget
Hotel The Hungry Tiger,Chennai,Anna Nagar,Cafe,Fine Dining,No,No,4.3,1828,3401,0.1264,Luxury
New Saffron,Chennai,Velachery,"Desserts, Mexican, Mughlai",Bakery,Yes,Yes,3.9,208,403,0.9677,Affordable
Masala Twist,Chennai,OMR,"Cafe, Rajasthani",Fine Dining,Yes,Yes,3.8,838,2022,0.1879,Luxury
The Burger Barn,Chennai,OMR,Gujarati,Cafe,Yes,No,3.8,1110,408,0.9314,Affordable
Shree Fusion Bites,Chennai,Velachery,"Beverages, Mughlai",Quick Bites,No,No,2.9,359,135,2.1481,Budget
Restaurant Flavor Town,Chennai,T Nagar,"Street Food, Bengali, Desserts",Food Court,Yes,No,4.1,511,121,3.3884,Budget
The Kebab King,Chennai,Anna Nagar,"Mughlai, Continental, Gujarati",Bakery,No,No,3.2,394,478,0.6695,Affordable
Restaurant Masala Twist,Chennai,T Nagar,"North Indian, Thai",Casual Dining,Yes,Yes,3.8,511,999,0.3804,Mid-Range
Cafe Sweet Tooth,Chennai,Anna Nagar,"Pizza, Desserts",Delivery,No,Yes,2.9,511,190,1.5263,Budget
Flavor Town,Chennai,Anna Nagar,Street Food,Food Court,Yes,No,3.2,549,187,1.7112,Budget
Restaurant Food Hub,Chennai,OMR,Biryani,Casual Dining,No,Yes,3.8,701,783,0.4853,Mid-Range
Restaurant Aroma Restaurant,Chennai,Anna Nagar,"Street Food, Biryani, Desserts",Delivery,Yes,No,3.1,530,164,1.8902,Budget
Flavor Town,Chennai,Velachery,"Cafe, Chinese, Pizza",Bakery,Yes,No,3.8,393,360,1.0556,Affordable
Shree Burger Barn,Chennai,Adyar,"Gujarati, Cafe, Italian",Bakery,Yes,No,4.1,47,432,0.9491,Affordable
Shree Grill House,Chennai,Velachery,"Bengali, Seafood",Delivery,Yes,No,3.2,96,381,0.8399,Affordable
Spice Garden,Chennai,T Nagar,"South Indian, Rajasthani, Punjabi",Delivery,Yes,No,3.4,386,309,1.1003,Affordable
Burger Barn,Chennai,Anna Nagar,Italian,Bakery,Yes,No,2.7,523,531,0.5085,Affordable
Curry Leaf,Chennai,OMR,Beverages,Casual Dining,Yes,Yes,3.5,562,737,0.4749,Mid-Range
The Chaat Junction,Chennai,OMR,"Thai, Italian, North Indian",Cafe,No,Yes,3.7,880,813,0.4551,Mid-Range
Shree The Hungry Tiger,Chennai,Anna Nagar,"Continental, Cafe",Cafe,No,Yes,3.6,1181,1001,0.3596,Premium
Cafe Masala Twist,Chennai,Anna Nagar,Bengali,Food Court,No,No,3.8,581,330,1.1515,Affordable
The Momo Point,Chennai,Anna Nagar,"Beverages, Desserts, Continental",Bakery,Yes,No,3.3,717,498,0.6627,Affordable
Taste of India,Chennai,OMR,Desserts,Cafe,Yes,No,4.6,850,987,0.4661,Mid-Range
Cafe Food Hub,Chennai,OMR,Gujarati,Fine Dining,Yes,No,4.3,390,2747,0.1565,Luxury
Shree Food Hub,Chennai,Velachery,Pizza,Bakery,Yes,No,3.3,248,205,1.6098,Budget
Hotel Sweet Tooth,Chennai,T Nagar,Desserts,Quick Bites,No,No,2.8,142,156,1.7949,Budget
New Flavor Town,Chennai,Adyar,Street Food,Cafe,Yes,No,3.9,1227,1018,0.3831,Premium
Shree Dhaba Express,Chennai,Adyar,North Indian,Dessert Parlour,No,No,4.1,262,409,1.0024,Affordable
Burger Barn,Chennai,T Nagar,"Chinese, Street Food, Rajasthani",Quick Bites,Yes,No,4.1,637,300,1.3667,Budget
New Masala Twist,Chennai,Anna Nagar,"Seafood, Pizza",Fine Dining,No,Yes,4.6,690,1678,0.2741,Premium
Cafe Saffron,Chennai,T Nagar,"Bengali, Thai",Delivery,Yes,No,4.0,794,358,1.1173,Affordable
The Spice Garden,Chennai,Velachery,"North Indian, Chinese",Quick Bites,Yes,No,3.4,773,275,1.2364,Budget
Cafe Dosa Corner,Chennai,Anna Nagar,"Biryani, Desserts, Rajasthani",Casual Dining,Yes,Yes,4.0,946,648,0.6173,Mid-Range
Dosa Corner,Chennai,T Nagar,Street Food,Casual Dining,Yes,No,3.5,72,1087,0.322,Premium
Flavor Town,Chennai,Velachery,"Thai, Mughlai, Rajasthani",Quick Bites,No,No,4.1,688,428,0.9579,Affordable
Hotel Spice Garden,Chennai,Adyar,Cafe,Bakery,Yes,No,4.0,265,575,0.6957,Affordable
Cafe Aroma Restaurant,Chennai,T Nagar,Desserts,Quick Bites,No,No,2.6,108,590,0.4407,Affordable
Biryani House,Chennai,T Nagar,"Punjabi, Fast Food",Quick Bites,No,No,3.8,222,419,0.9069,Affordable
Classic Dining,Chennai,OMR,Beverages,Delivery,Yes,Yes,3.8,408,106,3.5849,Budget
Royal Dosa Corner,Chennai,Velachery,Chinese,Food Court,No,No,4.0,114,355,1.1268,Affordable
Royal Momo Point,Chennai,Adyar,"Desserts, Seafood, Biryani",Casual Dining,Yes,No,4.5,1414,725,0.6207,Mid-Range
Royal Taste of India,Chennai,Anna Nagar,"Continental, Punjabi, North Indian",Fine Dining,Yes,No,4.8,684,2765,0.1736,Luxury
Pizza Palace,Chennai,Velachery,"Gujarati, Street Food",Cafe,Yes,No,4.2,1274,643,0.6532,Mid-Range
