Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two
Hotel Curry Leaf,Hyderabad,Jubilee Hills,"Mexican, Beverages, Biryani",Casual Dining,Yes,No,3.8,893.0,896
Hotel Noodle Box,Hyderabad,Gachibowli,Thai,Delivery,Yes,No,3.6,739.0,372
Royal Grill House,Hyderabad,Hitech City,Biryani,Casual Dining,No,No,3.7,334.0,771
Hotel Noodle Box,Hyderabad,Banjara Hills,"Street Food, North Indian, Fast Food",Cafe,Yes,No,3.4,679.0,632
Food Hub,Hyderabad,Banjara Hills,Gujarati,Casual Dining,No,Yes,3.4,1101.0,1075
Momo Point,Hyderabad,Hitech City,"North Indian, Fast Food, Mexican",Dessert Parlour,No,Yes,4.3,696.0,194
New Curry Leaf,Hyderabad,Jubilee Hills,Punjabi,Food Court,No,No,3.5,111.0,134
Royal Dosa Corner,Hyderabad,Gachibowli,Thai,Dessert Parlour,Yes,No,4.3,526.0,571
Shree Biryani House,Hyderabad,Jubilee Hills,Beverages,Casual Dining,No,No,4.0,281.0,817
Shree Burger Barn,Hyderabad,Gachibowli,"Street Food, Thai",Bakery,No,Yes,3.5,300.0,297
Hotel Sweet Tooth,Hyderabad,Gachibowli,"Mughlai, Chinese",Dessert Parlour,No,No,,193.0,288
Curry Leaf,Hyderabad,Gachibowli,Biryani,Casual Dining,Yes,No,4.7,395.0,1159
Kebab King,Hyderabad,Gachibowli,Bengali,Casual Dining,No,Yes,4.3,1265.0,995
The Biryani House,Hyderabad,Banjara Hills,"Punjabi, Italian",Fine Dining,Yes,No,3.9,1218.0,3504
New Cloud Kitchen,Hyderabad,Gachibowli,"North Indian, Pizza",Casual Dining,Yes,No,3.4,1326.0,1036
The Noodle Box,Hyderabad,Banjara Hills,Street Food,Bakery,No,No,3.0,563.0,275
Flavor Town,Hyderabad,Gachibowli,"Desserts, Seafood",Fine Dining,Yes,Yes,4.0,1646.0,2741
New Food Hub,Hyderabad,Gachibowli,Mexican,Bakery,No,No,3.9,491.0,392
Kebab King,Hyderabad,Banjara Hills,"Mexican, Seafood",Dessert Parlour,Yes,No,,72.0,264
Royal Taste of India,Hyderabad,Banjara Hills,"Fast Food, Bengali",Food Court,Yes,No,3.2,260.0,438
Spice Garden,Hyderabad,Gachibowli,Desserts,Dessert Parlour,Yes,No,2.6,442.0,436
New Cloud Kitchen,Hyderabad,Hitech City,"Seafood, Mexican",Quick Bites,Yes,No,4.1,717.0,151
Momo Point,Hyderabad,Gachibowli,"Street Food, Beverages, Bengali",Cafe,Yes,No,4.7,1147.0,477
Hotel Classic Dining,Hyderabad,Hitech City,"Chinese, Mexican, Fast Food",Delivery,Yes,Yes,3.6,496.0,371
The Classic Dining,Hyderabad,Jubilee Hills,"Thai, Desserts",Dessert Parlour,Yes,No,3.7,697.0,332
The Grill House,Hyderabad,Jubilee Hills,Rajasthani,Bakery,Yes,No,4.1,797.0,536
Hotel Classic Dining,Hyderabad,Jubilee Hills,"Biryani, Continental",Food Court,Yes,No,3.1,430.0,322
Dhaba Express,Hyderabad,Gachibowli,"Street Food, Pizza",Fine Dining,Yes,No,4.2,507.0,1965
The Aroma Restaurant,Hyderabad,Gachibowli,"South Indian, Mughlai",Fine Dining,Yes,Yes,4.1,1548.0,2637
Hotel Sweet Tooth,Hyderabad,Jubilee Hills,Chinese,Quick Bites,Yes,Yes,2.6,426.0,589
Chaat Junction,Hyderabad,Banjara Hills,Mexican,Delivery,No,No,3.5,604.0,524
Hotel Dosa Corner,Hyderabad,Jubilee Hills,"Fast Food, Desserts, Mexican",Delivery,No,No,4.1,251.0,480
Restaurant Saffron,Hyderabad,Jubilee Hills,"Bengali, Italian",Dessert Parlour,No,Yes,3.6,125.0,458
Restaurant Saffron,Hyderabad,Gachibowli,"Beverages, Street Food",Food Court,Yes,No,3.7,767.0,530
Taste of India,Hyderabad,Jubilee Hills,"Beverages, Fast Food, Thai",Dessert Parlour,No,No,3.3,412.0,565
Hotel Cloud Kitchen,Hyderabad,Gachibowli,Pizza,Dessert Parlour,No,No,4.3,669.0,492
Royal Aroma Restaurant,Hyderabad,Hitech City,"Bengali, Desserts, Cafe",Bakery,No,No,4.1,277.0,457
Hotel Biryani House,Hyderabad,Jubilee Hills,"North Indian, South Indian, Pizza",Bakery,Yes,No,2.8,214.0,305
Curry Leaf,Hyderabad,Banjara Hills,"Biryani, Bengali, Desserts",Delivery,Yes,No,2.8,713.0,188
Royal Classic Dining,Hyderabad,Jubilee Hills,"Pizza, Seafood",Fine Dining,No,No,4.8,242.0,2419
Dosa Corner,Hyderabad,Banjara Hills,"Mughlai, Italian",Casual Dining,No,Yes,3.8,1279.0,839
Masala Twist,Hyderabad,Gachibowli,"Punjabi, Bengali, Rajasthani",Quick Bites,No,No,2.9,205.0,204
Pizza Palace,Hyderabad,Banjara Hills,Bengali,Fine Dining,No,No,4.9,1688.0,2659
Flavor Town,Hyderabad,Gachibowli,"Continental, Rajasthani",Dessert Parlour,No,No,,97.0,334
Royal Urban Kitchen,Hyderabad,Banjara Hills,"Seafood, Bengali, Italian",Delivery,Yes,No,2.6,250.0,576
Cafe Grill House,Hyderabad,Gachibowli,"Punjabi, Seafood",Quick Bites,Yes,No,,582.0,595
Aroma Restaurant,Hyderabad,Hitech City,"Biryani, Chinese",Food Court,Yes,No,,330.0,159
Shree Food Hub,Hyderabad,Jubilee Hills,"Italian, Cafe",Fine Dining,Yes,No,4.0,1764.0,3512
Shree Food Hub,Hyderabad,Gachibowli,Continental,Cafe,Yes,No,3.4,943.0,878
Cafe Dosa Corner,Hyderabad,Hitech City,"Thai, Gujarati, Rajasthani",Food Court,Yes,No,4.2,367.0,163
Hotel Sweet Tooth,Hyderabad,Hitech City,"North Indian, Punjabi, Pizza",Delivery,Yes,Yes,4.0,,446
The The Hungry Tiger,Hyderabad,Banjara Hills,"Biryani, North Indian",Casual Dining,Yes,No,4.2,1336.0,864
Royal Sweet Tooth,Hyderabad,Banjara Hills,"Mexican, Biryani",Bakery,Yes,Yes,3.8,66.0,265
Cafe Biryani House,Hyderabad,Hitech City,"Pizza, Continental",Fine Dining,No,No,3.9,533.0,2352
Momo Point,Hyderabad,Gachibowli,"Street Food, Biryani",Bakery,Yes,Yes,3.2,511.0,202
Cafe Chaat Junction,Hyderabad,Banjara Hills,"Beverages, Pizza",Casual Dining,Yes,No,3.3,999.0,749
New Noodle Box,Hyderabad,Hitech City,"Bengali, Chinese",Dessert Parlour,No,No,2.8,710.0,165
Momo Point,Hyderabad,Banjara Hills,"Chinese, South Indian, Punjabi",Quick Bites,Yes,No,2.7,747.0,438
Royal Aroma Restaurant,Hyderabad,Gachibowli,Rajasthani,Quick Bites,Yes,Yes,3.3,436.0,142
The Sweet Tooth,Hyderabad,Banjara Hills,"Italian, Desserts, Pizza",Bakery,Yes,Yes,4.5,699.0,232
Royal Kebab King,Hyderabad,Gachibowli,Gujarati,Quick Bites,Yes,No,3.8,626.0,481
Cafe Classic Dining,Hyderabad,Jubilee Hills,Biryani,Dessert Parlour,Yes,Yes,4.1,202.0,456
Shree Chaat Junction,Hyderabad,Gachibowli,"Thai, Mughlai, Chinese",Fine Dining,Yes,No,4.3,438.0,1589
Noodle Box,Hyderabad,Gachibowli,"Mexican, Continental",Quick Bites,Yes,No,,351.0,126
Restaurant Flavor Town,Hyderabad,Banjara Hills,Gujarati,Dessert Parlour,Yes,No,3.9,704.0,578
Dhaba Express,Hyderabad,Gachibowli,"Mexican, Desserts",Quick Bites,Yes,Yes,3.8,494.0,555
Royal Flavor Town,Hyderabad,Gachibowli,Street Food,Quick Bites,No,No,3.4,234.0,359
Hotel Urban Kitchen,Hyderabad,Gachibowli,"Seafood, Bengali",Cafe,No,No,4.3,381.0,883
The Kebab King,Hyderabad,Hitech City,Mughlai,Cafe,Yes,No,4.4,671.0,905
The Hungry Tiger,Hyderabad,Hitech City,"Pizza, Cafe, Punjabi",Food Court,Yes,Yes,3.4,242.0,416
Hotel Biryani House,Hyderabad,Banjara Hills,"Italian, Biryani, Punjabi",Quick Bites,Yes,Yes,2.6,458.0,584
Hotel Pizza Palace,Hyderabad,Hitech City,"Fast Food, Pizza, Cafe",Quick Bites,No,No,2.8,735.0,249
Masala Twist,Hyderabad,Jubilee Hills,Fast Food,Food Court,No,No,3.3,16.0,493
Noodle Box,Hyderabad,Gachibowli,"Beverages, Bengali",Casual Dining,Yes,No,3.4,1134.0,1171
Cafe Noodle Box,Hyderabad,Banjara Hills,"Beverages, North Indian, Rajasthani",Bakery,Yes,Yes,4.1,81.0,583
New Masala Twist,Hyderabad,Hitech City,Biryani,Fine Dining,No,Yes,4.5,805.0,3629
Royal Fusion Bites,Hyderabad,Gachibowli,Italian,Food Court,No,No,2.8,466.0,306
New Masala Twist,Hyderabad,Jubilee Hills,"Seafood, Mughlai, Street Food",Food Court,Yes,No,3.3,767.0,468
Aroma Restaurant,Hyderabad,Gachibowli,"Thai, Street Food, Punjabi",Casual Dining,Yes,No,3.2,1263.0,952
The Dhaba Express,Hyderabad,Hitech City,"South Indian, Beverages, Italian",Casual Dining,Yes,No,3.3,305.0,1066
Grill House,Hyderabad,Jubilee Hills,"Mexican, Cafe, Thai",Delivery,No,Yes,3.1,742.0,441
The Noodle Box,Hyderabad,Jubilee Hills,"Punjabi, Mexican",Casual Dining,Yes,No,3.9,921.0,550
Royal Chaat Junction,Hyderabad,Gachibowli,Rajasthani,Bakery,Yes,No,3.3,541.0,386
Restaurant Dhaba Express,Hyderabad,Gachibowli,"Gujarati, Bengali, Pizza",Bakery,Yes,Yes,3.9,731.0,166
New Pizza Palace,Hyderabad,Banjara Hills,"Pizza, Thai, Beverages",Quick Bites,No,Yes,4.2,133.0,156
Masala Twist,Hyderabad,Jubilee Hills,"Beverages, Street Food",Food Court,Yes,Yes,2.8,613.0,501
Sweet Tooth,Hyderabad,Gachibowli,"Gujarati, North Indian, Fast Food",Cafe,Yes,Yes,3.3,1223.0,892
Royal Noodle Box,Hyderabad,Gachibowli,Punjabi,Cafe,Yes,No,4.2,716.0,552
The Momo Point,Hyderabad,Hitech City,"Desserts, Thai",Delivery,Yes,No,3.4,671.0,242
The Biryani House,Hyderabad,Jubilee Hills,"Thai, Chinese, Mughlai",Casual Dining,No,No,4.3,1118.0,983
The Chaat Junction,Hyderabad,Banjara Hills,"Mughlai, Continental",Quick Bites,No,No,3.7,556.0,143
Pizza Palace,Hyderabad,Jubilee Hills,"Pizza, Bengali",Food Court,Yes,No,3.3,127.0,146
Sweet Tooth,Hyderabad,Banjara Hills,Biryani,Dessert Parlour,Yes,No,2.8,343.0,414
Royal Momo Point,Hyderabad,Jubilee Hills,Bengali,Food Court,No,Yes,4.4,133.0,560
The Saffron,Hyderabad,Banjara Hills,"Punjabi, Seafood, Fast Food",Bakery,Yes,No,,505.0,133
Restaurant Tiffin Box,Hyderabad,Gachibowli,"Biryani, Street Food, Bengali",Delivery,Yes,No,3.5,155.0,500
Shree Saffron,Hyderabad,Hitech City,North Indian,Bakery,No,No,,181.0,434
Hotel Pizza Palace,Hyderabad,Hitech City,"Mughlai, Mexican",Fine Dining,No,Yes,4.0,1353.0,3687
Shree Saffron,Hyderabad,Jubilee Hills,Cafe,Fine Dining,Yes,No,4.8,1500.0,2903
The Spice Garden,Hyderabad,Jubilee Hills,"Mughlai, Rajasthani",Food Court,No,No,4.3,671.0,168
Shree Urban Kitchen,Hyderabad,Banjara Hills,"Gujarati, Seafood, Thai",Fine Dining,Yes,No,4.5,263.0,3706
Shree Spice Garden,Hyderabad,Jubilee Hills,"Cafe, Beverages",Food Court,Yes,No,4.1,137.0,104
Food Hub,Chennai,Velachery,"Beverages, Mughlai",Quick Bites,Yes,No,3.1,236.0,467
New Curry Leaf,Chennai,OMR,"Cafe, Mughlai, North Indian",Bakery,Yes,No,3.3,294.0,545
Curry Leaf,Chennai,Anna Nagar,Mexican,Cafe,Yes,Yes,3.6,516.0,983
Biryani House,Chennai,OMR,"Thai, Rajasthani, North Indian",Dessert Parlour,No,No,4.4,340.0,126
Curry Leaf,Chennai,Velachery,"Beverages, Punjabi",Bakery,No,No,2.9,440.0,242
The Chaat Junction,Chennai,Adyar,"North Indian, Continental, Bengali",Casual Dining,No,No,3.5,686.0,737
Hotel Cloud Kitchen,Chennai,OMR,"Desserts, Italian, Continental",Quick Bites,Yes,Yes,3.2,351.0,127
Hotel Pizza Palace,Chennai,Anna Nagar,Rajasthani,Bakery,Yes,Yes,2.6,396.0,117
Biryani House,Chennai,OMR,Street Food,Bakery,Yes,No,2.7,582.0,128
Hotel The Hungry Tiger,Chennai,Anna Nagar,Cafe,Fine Dining,No,No,4.3,1828.0,3401
New Saffron,Chennai,Velachery,"Desserts, Mexican, Mughlai",Bakery,Yes,Yes,3.9,208.0,403
Masala Twist,Chennai,OMR,"Cafe, Rajasthani",Fine Dining,Yes,Yes,3.8,838.0,2022
The Burger Barn,Chennai,OMR,Gujarati,Cafe,Yes,No,3.8,1110.0,408
Shree Fusion Bites,Chennai,Velachery,"Beverages, Mughlai",Quick Bites,No,No,2.9,359.0,135
Restaurant Flavor Town,Chennai,T Nagar,"Street Food, Bengali, Desserts",Food Court,Yes,No,4.1,,121
The Kebab King,Chennai,Anna Nagar,"Mughlai, Continental, Gujarati",Bakery,No,No,3.2,394.0,478
Restaurant Masala Twist,Chennai,T Nagar,"North Indian, Thai",Casual Dining,Yes,Yes,,,999
Cafe Sweet Tooth,Chennai,Anna Nagar,"Pizza, Desserts",Delivery,No,Yes,2.9,,190
Flavor Town,Chennai,Anna Nagar,Street Food,Food Court,Yes,No,3.2,549.0,187
Restaurant Food Hub,Chennai,OMR,Biryani,Casual Dining,No,Yes,3.8,701.0,783
Restaurant Aroma Restaurant,Chennai,Anna Nagar,"Street Food, Biryani, Desserts",Delivery,Yes,No,3.1,530.0,164
Flavor Town,Chennai,Velachery,"Cafe, Chinese, Pizza",Bakery,Yes,No,3.8,393.0,360
Shree Burger Barn,Chennai,Adyar,"Gujarati, Cafe, Italian",Bakery,Yes,No,4.1,47.0,432
Shree Grill House,Chennai,Velachery,"Bengali, Seafood",Delivery,Yes,No,3.2,96.0,381
Spice Garden,Chennai,T Nagar,"South Indian, Rajasthani, Punjabi",Delivery,Yes,No,3.4,386.0,309
Burger Barn,Chennai,Anna Nagar,Italian,Bakery,Yes,No,2.7,523.0,531
Curry Leaf,Chennai,OMR,Beverages,Casual Dining,Yes,Yes,3.5,562.0,737
The Chaat Junction,Chennai,OMR,"Thai, Italian, North Indian",Cafe,No,Yes,3.7,880.0,813
Shree The Hungry Tiger,Chennai,Anna Nagar,"Continental, Cafe",Cafe,No,Yes,3.6,1181.0,1001
Cafe Masala Twist,Chennai,Anna Nagar,Bengali,Food Court,No,No,,581.0,330
The Momo Point,Chennai,Anna Nagar,"Beverages, Desserts, Continental",Bakery,Yes,No,3.3,717.0,498
Taste of India,Chennai,OMR,Desserts,Cafe,Yes,No,4.6,850.0,987
Cafe Food Hub,Chennai,OMR,Gujarati,Fine Dining,Yes,No,4.3,390.0,2747
Shree Food Hub,Chennai,Velachery,Pizza,Bakery,Yes,No,3.3,248.0,205
Hotel Sweet Tooth,Chennai,T Nagar,Desserts,Quick Bites,No,No,2.8,142.0,156
New Flavor Town,Chennai,Adyar,Street Food,Cafe,Yes,No,3.9,1227.0,1018
Shree Dhaba Express,Chennai,Adyar,North Indian,Dessert Parlour,No,No,4.1,262.0,409
Burger Barn,Chennai,T Nagar,"Chinese, Street Food, Rajasthani",Quick Bites,Yes,No,4.1,637.0,300
New Masala Twist,Chennai,Anna Nagar,"Seafood, Pizza",Fine Dining,No,Yes,4.6,690.0,1678
Cafe Saffron,Chennai,T Nagar,"Bengali, Thai",Delivery,Yes,No,4.0,794.0,358
The Spice Garden,Chennai,Velachery,"North Indian, Chinese",Quick Bites,Yes,No,3.4,773.0,275
Cafe Dosa Corner,Chennai,Anna Nagar,"Biryani, Desserts, Rajasthani",Casual Dining,Yes,Yes,4.0,946.0,648
Dosa Corner,Chennai,T Nagar,Street Food,Casual Dining,Yes,No,3.5,72.0,1087
Flavor Town,Chennai,Velachery,"Thai, Mughlai, Rajasthani",Quick Bites,No,No,4.1,688.0,428
Hotel Spice Garden,Chennai,Adyar,Cafe,Bakery,Yes,No,4.0,265.0,575
Cafe Aroma Restaurant,Chennai,T Nagar,Desserts,Quick Bites,No,No,2.6,108.0,590
Biryani House,Chennai,T Nagar,"Punjabi, Fast Food",Quick Bites,No,No,3.8,222.0,419
Classic Dining,Chennai,OMR,Beverages,Delivery,Yes,Yes,3.8,408.0,106
Royal Dosa Corner,Chennai,Velachery,Chinese,Food Court,No,No,4.0,114.0,355
Royal Momo Point,Chennai,Adyar,"Desserts, Seafood, Biryani",Casual Dining,Yes,No,4.5,1414.0,725
Royal Taste of India,Chennai,Anna Nagar,"Continental, Punjabi, North Indian",Fine Dining,Yes,No,4.8,684.0,2765
Pizza Palace,Chennai,Velachery,"Gujarati, Street Food",Cafe,Yes,No,4.2,1274.0,643
New Food Hub,Chennai,T Nagar,"South Indian, Punjabi, Bengali",Food Court,Yes,Yes,2.5,760.0,533
Cafe Curry Leaf,Chennai,T Nagar,"Seafood, Punjabi, Desserts",Delivery,Yes,No,2.6,81.0,351
Cafe Aroma Restaurant,Chennai,T Nagar,Mexican,Casual Dining,Yes,No,3.5,210.0,919
Sweet Tooth,Chennai,Adyar,"Pizza, Continental",Delivery,Yes,No,4.4,288.0,203
Hotel Cloud Kitchen,Chennai,Velachery,"Rajasthani, Bengali",Cafe,Yes,No,4.3,90.0,893
Shree Curry Leaf,Chennai,T Nagar,"Pizza, Italian, Seafood",Cafe,Yes,No,3.8,1034.0,1020
Sweet Tooth,Chennai,Adyar,North Indian,Delivery,No,No,3.2,435.0,307
Cloud Kitchen,Chennai,Velachery,"Mexican, Chinese, Bengali",Dessert Parlour,No,No,2.7,589.0,577
Cafe Saffron,Chennai,OMR,"Beverages, South Indian, Seafood",Bakery,No,No,3.0,380.0,117
Sweet Tooth,Chennai,OMR,"Biryani, Italian, Continental",Bakery,Yes,No,4.2,129.0,106
Cloud Kitchen,Chennai,Anna Nagar,"Mughlai, Bengali, Pizza",Casual Dining,No,Yes,3.7,1398.0,945
Shree Spice Garden,Chennai,Anna Nagar,"Mexican, Beverages, Biryani",Casual Dining,Yes,Yes,,680.0,1115
Cafe Grill House,Chennai,Anna Nagar,"Bengali, Punjabi, Cafe",Casual Dining,No,No,3.5,431.0,783
Hotel Classic Dining,Chennai,T Nagar,"Mughlai, Pizza, Cafe",Bakery,Yes,Yes,4.0,428.0,232
The Food Hub,Chennai,Velachery,"Chinese, Seafood",Casual Dining,Yes,Yes,3.2,1028.0,640
Fusion Bites,Chennai,Adyar,"Mexican, South Indian, Fast Food",Quick Bites,Yes,No,3.3,789.0,366
Biryani House,Chennai,Anna Nagar,"Desserts, Cafe",Food Court,No,No,3.8,635.0,293
Royal Urban Kitchen,Chennai,Adyar,"Seafood, Biryani, North Indian",Bakery,Yes,No,3.1,779.0,458
Aroma Restaurant,Chennai,OMR,"Mughlai, North Indian, Desserts",Fine Dining,Yes,No,3.9,1588.0,2833
Cafe Grill House,Chennai,OMR,"Bengali, Gujarati",Casual Dining,No,No,4.6,838.0,1151
Hotel Chaat Junction,Chennai,OMR,Gujarati,Quick Bites,No,No,3.8,488.0,380
Sweet Tooth,Chennai,Velachery,Mughlai,Delivery,Yes,No,3.9,,154
Restaurant Momo Point,Chennai,OMR,"Italian, Gujarati, Fast Food",Delivery,No,No,3.8,102.0,351
Hotel Biryani House,Chennai,Anna Nagar,"Desserts, Seafood, Mexican",Casual Dining,No,No,4.6,527.0,847
Royal Tiffin Box,Chennai,T Nagar,"Mexican, Mughlai, Fast Food",Food Court,Yes,Yes,3.1,600.0,294
New Dhaba Express,Chennai,Velachery,"Desserts, Beverages",Fine Dining,No,No,3.9,1409.0,3964
The Fusion Bites,Chennai,Velachery,"Continental, Gujarati",Cafe,No,Yes,3.6,1412.0,1164
Cafe Flavor Town,Chennai,T Nagar,"Fast Food, Italian, Gujarati",Dessert Parlour,Yes,Yes,3.1,395.0,594
Noodle Box,Chennai,Adyar,"South Indian, Pizza, Gujarati",Delivery,No,Yes,4.1,173.0,567
Cafe The Hungry Tiger,Chennai,OMR,"Seafood, Chinese",Food Court,Yes,Yes,3.9,727.0,199
Restaurant Aroma Restaurant,Chennai,Anna Nagar,"Street Food, Rajasthani, Pizza",Quick Bites,Yes,No,3.5,158.0,559
Cafe Food Hub,Chennai,Anna Nagar,"Mexican, Fast Food, Biryani",Food Court,Yes,No,3.9,67.0,186
Cloud Kitchen,Chennai,Anna Nagar,"Bengali, Biryani, Seafood",Food Court,Yes,Yes,3.3,714.0,254
The Momo Point,Chennai,OMR,"Seafood, Italian, Rajasthani",Bakery,Yes,Yes,2.7,666.0,350
Hotel Flavor Town,Chennai,OMR,"Fast Food, Mexican",Bakery,Yes,No,3.8,315.0,322
Hotel Cloud Kitchen,Chennai,T Nagar,"North Indian, Seafood",Cafe,Yes,No,4.4,180.0,900
Cafe Taste of India,Chennai,OMR,Cafe,Casual Dining,No,Yes,,301.0,721
The Burger Barn,Chennai,Velachery,Chinese,Dessert Parlour,No,No,3.2,185.0,378
Hotel Urban Kitchen,Chennai,Anna Nagar,"Street Food, Thai, Rajasthani",Quick Bites,Yes,No,3.1,370.0,566
Pizza Palace,Chennai,OMR,Mughlai,Delivery,Yes,No,2.9,626.0,168
Flavor Town,Chennai,T Nagar,Thai,Fine Dining,Yes,No,4.8,1134.0,3138
Royal Dosa Corner,Chennai,Adyar,Italian,Delivery,No,No,2.9,587.0,290
Hotel The Hungry Tiger,Chennai,Anna Nagar,"Bengali, Seafood",Cafe,Yes,No,3.3,1138.0,527
Hotel Dosa Corner,Chennai,OMR,"Italian, Biryani",Food Court,No,Yes,2.5,237.0,293
Cloud Kitchen,Chennai,Adyar,"Gujarati, Fast Food, Punjabi",Dessert Parlour,Yes,No,3.1,632.0,238
Cafe Urban Kitchen,Chennai,T Nagar,"Thai, Cafe",Cafe,Yes,No,,580.0,530
Shree Dosa Corner,Chennai,Adyar,"Mexican, Italian",Cafe,Yes,No,4.7,560.0,1124
Noodle Box,Chennai,Velachery,"Punjabi, Street Food",Food Court,Yes,No,4.4,244.0,551
The Noodle Box,Chennai,OMR,"Chinese, Cafe, Continental",Casual Dining,No,Yes,3.3,635.0,1161
The Flavor Town,Chennai,Adyar,"Gujarati, Punjabi",Cafe,No,No,,880.0,527
Restaurant Dosa Corner,Chennai,Anna Nagar,Punjabi,Food Court,No,Yes,3.4,700.0,186
Restaurant Tiffin Box,Chennai,Anna Nagar,Punjabi,Food Court,Yes,Yes,3.5,392.0,187
New Food Hub,Chennai,Adyar,"Gujarati, Street Food",Dessert Parlour,Yes,Yes,3.8,232.0,301
Kebab King,Chennai,Anna Nagar,Beverages,Bakery,Yes,No,3.1,15.0,154
Burger Barn,Chennai,Adyar,"Gujarati, Mughlai",Casual Dining,Yes,No,,1048.0,526
Cafe Kebab King,Chennai,Adyar,"Street Food, Beverages",Fine Dining,Yes,Yes,4.7,1098.0,1945
Restaurant Chaat Junction,Chennai,Velachery,"Mughlai, Fast Food",Quick Bites,Yes,Yes,3.3,349.0,480
Pizza Palace,Chennai,Anna Nagar,"Gujarati, Thai",Casual Dining,Yes,No,3.4,868.0,1169
Royal Aroma Restaurant,Pune,Koregaon Park,Biryani,Casual Dining,Yes,No,4.4,156.0,642
Hotel Saffron,Pune,Baner,"Street Food, Cafe",Fine Dining,Yes,No,4.1,1693.0,2124
Royal Classic Dining,Pune,Baner,Gujarati,Fine Dining,No,No,4.6,1451.0,3557
The Sweet Tooth,Pune,Kothrud,Biryani,Delivery,Yes,Yes,,446.0,174
Flavor Town,Pune,Kothrud,"Continental, Cafe, Desserts",Dessert Parlour,Yes,Yes,3.4,321.0,126
Hotel Noodle Box,Pune,Baner,"South Indian, Pizza",Delivery,Yes,Yes,4.0,302.0,208
Aroma Restaurant,Pune,Hinjewadi,"Beverages, Desserts",Dessert Parlour,Yes,Yes,2.5,798.0,382
Restaurant Curry Leaf,Pune,Kothrud,"Italian, Mughlai, Seafood",Delivery,Yes,Yes,,133.0,408
Cafe Curry Leaf,Pune,Kothrud,Thai,Casual Dining,Yes,No,3.9,463.0,1179
The Dosa Corner,Pune,Hinjewadi,"Beverages, Cafe, Rajasthani",Dessert Parlour,Yes,Yes,3.4,439.0,347
Hotel Dosa Corner,Pune,Kothrud,"South Indian, Mexican",Cafe,Yes,No,3.5,1063.0,807
New Dhaba Express,Pune,Hinjewadi,"Seafood, Cafe, Italian",Fine Dining,Yes,Yes,,1626.0,3925
Cafe Saffron,Pune,Baner,Street Food,Dessert Parlour,No,No,2.8,556.0,123
Taste of India,Pune,Hinjewadi,Continental,Dessert Parlour,No,Yes,2.7,365.0,432
Spice Garden,Pune,Koregaon Park,"Cafe, Street Food",Cafe,Yes,Yes,4.4,499.0,764
Cafe Dhaba Express,Pune,Baner,"Italian, Thai, Mughlai",Fine Dining,No,Yes,4.1,1489.0,3882
Cafe Classic Dining,Pune,Hinjewadi,"Biryani, Gujarati",Fine Dining,Yes,Yes,4.0,586.0,2221
Biryani House,Pune,Baner,"Pizza, Cafe",Quick Bites,No,No,2.9,83.0,173
Pizza Palace,Pune,Koregaon Park,"Fast Food, Seafood, Mexican",Quick Bites,Yes,No,4.0,54.0,429
Shree Dosa Corner,Pune,Hinjewadi,Thai,Quick Bites,No,No,3.9,152.0,203
Biryani House,Pune,Kothrud,"Biryani, Continental",Food Court,Yes,No,3.8,31.0,163
Urban Kitchen,Pune,Koregaon Park,Continental,Cafe,Yes,No,3.4,637.0,1071
Hotel Food Hub,Pune,Baner,Fast Food,Bakery,Yes,No,3.1,640.0,139
Biryani House,Pune,Hinjewadi,"Punjabi, Desserts",Cafe,Yes,No,3.4,1457.0,1083
Shree Aroma Restaurant,Pune,Kothrud,"Beverages, Italian, Chinese",Bakery,No,No,4.5,681.0,498
Chaat Junction,Pune,Kothrud,Mexican,Casual Dining,Yes,No,3.4,311.0,730
New Tiffin Box,Pune,Baner,"Bengali, Desserts, Biryani",Bakery,No,No,3.0,572.0,314
Restaurant Spice Garden,Pune,Hinjewadi,Mexican,Fine Dining,No,No,4.7,1639.0,2398
New Noodle Box,Pune,Baner,Fast Food,Bakery,Yes,No,4.2,152.0,543
Kebab King,Pune,Koregaon Park,South Indian,Delivery,No,Yes,3.9,396.0,173
Royal Noodle Box,Pune,Baner,"Mexican, Chinese, Gujarati",Casual Dining,No,No,3.2,339.0,774
Biryani House,Pune,Baner,"Biryani, Punjabi",Cafe,No,Yes,3.8,959.0,745
Royal Grill House,Pune,Hinjewadi,"South Indian, Pizza, Punjabi",Quick Bites,Yes,No,3.3,475.0,585
Restaurant Sweet Tooth,Pune,Baner,"Pizza, Italian",Delivery,No,No,4.5,770.0,164
Hotel Biryani House,Pune,Koregaon Park,"Rajasthani, Gujarati, Desserts",Casual Dining,No,No,3.8,810.0,455
New Curry Leaf,Pune,Koregaon Park,"Desserts, North Indian, Continental",Food Court,Yes,No,2.6,21.0,405
The Kebab King,Pune,Hinjewadi,"Chinese, Mexican",Delivery,Yes,No,4.1,59.0,123
Hotel Grill House,Pune,Baner,"Mughlai, Desserts, Seafood",Fine Dining,No,No,4.6,878.0,1898
Restaurant Urban Kitchen,Pune,Baner,"Seafood, Gujarati, South Indian",Quick Bites,Yes,Yes,3.4,650.0,553
Burger Barn,Pune,Baner,"Punjabi, Cafe, Desserts",Cafe,Yes,Yes,,932.0,1038
Hotel Chaat Junction,Pune,Koregaon Park,Mexican,Casual Dining,Yes,No,4.4,683.0,546
